State,Year,Month,T2M,PRECTOTCORR
KANSAS,2004,2,-0.93,1.43
KANSAS,2004,3,8.3,3.66
KANSAS,2004,4,12.98,2.06
KANSAS,2004,5,19.86,2.6
KANSAS,2004,6,21.82,6.18
KANSAS,2004,7,23.99,6.6
KANSAS,2004,8,22.76,2.02
KANSAS,2004,9,22.44,1.45
KANSAS,2004,10,14.97,2.33
KANSAS,2004,11,7.02,2.06
KANSAS,2004,12,0.96,0.27
KANSAS,2005,1,-4.1,2.04
KANSAS,2005,2,3.32,1.88
KANSAS,2005,3,6.49,1.54
KANSAS,2005,4,13.2,1.61
KANSAS,2005,5,18.25,4.07
KANSAS,2005,6,23.5,8.15
KANSAS,2005,7,25.54,2.53
KANSAS,2005,8,25.78,7.19
KANSAS,2005,9,21.76,1.67
KANSAS,2005,10,13.82,1.9
KANSAS,2005,11,7.59,0.69
KANSAS,2005,12,-1.36,0.5
KANSAS,2006,1,4.4,0.27
KANSAS,2006,2,0.73,0.0
KANSAS,2006,3,7.5,2.22
KANSAS,2006,4,16.48,3.12
KANSAS,2006,5,19.22,2.83
KANSAS,2006,6,24.96,2.77
KANSAS,2006,7,28.69,1.97
KANSAS,2006,8,27.13,4.56
KANSAS,2006,9,19.11,1.71
KANSAS,2006,10,12.85,1.79
KANSAS,2006,11,7.28,0.44
KANSAS,2006,12,2.92,1.48
KANSAS,2007,1,-2.33,1.05
KANSAS,2007,2,-1.01,1.02
KANSAS,2007,3,11.35,3.21
KANSAS,2007,4,10.59,2.94
KANSAS,2007,5,19.27,7.53
KANSAS,2007,6,22.29,5.19
KANSAS,2007,7,24.94,3.29
KANSAS,2007,8,27.48,1.82
KANSAS,2007,9,21.82,2.06
KANSAS,2007,10,15.17,4.17
KANSAS,2007,11,6.35,0.17
KANSAS,2007,12,-3.21,3.0
KANSAS,2008,1,-2.01,0.48
KANSAS,2008,2,-1.3,2.09
KANSAS,2008,3,5.01,2.01
KANSAS,2008,4,10.27,3.16
KANSAS,2008,5,18.09,4.89
KANSAS,2008,6,23.06,5.57
KANSAS,2008,7,25.29,2.81
KANSAS,2008,8,23.91,4.02
KANSAS,2008,9,18.93,5.0
KANSAS,2008,10,12.53,2.98
KANSAS,2008,11,5.39,1.0
KANSAS,2008,12,-2.04,0.82
KANSAS,2009,1,-2.18,0.04
KANSAS,2009,2,2.81,0.58
KANSAS,2009,3,6.24,2.84
KANSAS,2009,4,11.49,5.26
KANSAS,2009,5,17.36,2.14
KANSAS,2009,6,24.16,4.96
KANSAS,2009,7,24.07,4.62
KANSAS,2009,8,23.75,3.5
KANSAS,2009,9,18.55,4.26
KANSAS,2009,10,9.71,3.2
KANSAS,2009,11,8.15,1.11
KANSAS,2009,12,-3.31,0.96
KANSAS,2010,1,-3.79,0.45
KANSAS,2010,2,-1.92,0.91
KANSAS,2010,3,6.32,1.77
KANSAS,2010,4,14.93,2.67
KANSAS,2010,5,17.82,3.58
KANSAS,2010,6,25.31,5.29
KANSAS,2010,7,26.44,5.52
KANSAS,2010,8,27.48,2.28
KANSAS,2010,9,21.91,4.13
KANSAS,2010,10,14.99,0.94
KANSAS,2010,11,5.84,1.66
KANSAS,2010,12,-0.82,0.08
KANSAS,2011,1,-3.4,0.41
KANSAS,2011,2,-0.88,1.47
KANSAS,2011,3,6.32,1.13
KANSAS,2011,4,13.36,1.78
KANSAS,2011,5,18.63,3.14
KANSAS,2011,6,26.77,2.69
KANSAS,2011,7,31.89,1.8
KANSAS,2011,8,29.15,2.54
KANSAS,2011,9,19.95,1.91
KANSAS,2011,10,14.84,1.19
KANSAS,2011,11,5.72,3.08
KANSAS,2011,12,0.03,2.58
KANSAS,2012,1,1.17,0.04
KANSAS,2012,2,2.36,2.17
KANSAS,2012,3,13.25,2.37
KANSAS,2012,4,15.82,2.56
KANSAS,2012,5,21.72,1.36
KANSAS,2012,6,26.24,2.47
KANSAS,2012,7,31.46,0.69
KANSAS,2012,8,26.26,2.83
KANSAS,2012,9,21.23,1.95
KANSAS,2012,10,13.1,1.01
KANSAS,2012,11,8.08,0.84
KANSAS,2012,12,1.8,0.29
KANSAS,2013,1,0.2,0.49
KANSAS,2013,2,1.17,1.72
KANSAS,2013,3,4.57,1.23
KANSAS,2013,4,10.17,2.79
KANSAS,2013,5,17.65,4.16
KANSAS,2013,6,24.56,2.35
KANSAS,2013,7,26.67,5.87
KANSAS,2013,8,23.95,5.86
KANSAS,2013,9,21.9,1.68
KANSAS,2013,10,13.09,2.74
KANSAS,2013,11,4.68,0.59
KANSAS,2013,12,-2.26,0.49
KANSAS,2014,1,-2.68,0.22
KANSAS,2014,2,-2.6,0.75
KANSAS,2014,3,4.17,0.42
KANSAS,2014,4,12.6,1.68
KANSAS,2014,5,20.18,2.55
KANSAS,2014,6,23.74,7.27
KANSAS,2014,7,25.24,1.01
KANSAS,2014,8,27.66,3.58
KANSAS,2014,9,21.11,2.59
KANSAS,2014,10,15.01,1.94
KANSAS,2014,11,3.34,0.2
KANSAS,2014,12,1.25,1.38
KANSAS,2015,1,-0.55,0.77
KANSAS,2015,2,-2.34,0.52
KANSAS,2015,3,8.04,0.35
KANSAS,2015,4,14.41,2.78
KANSAS,2015,5,17.54,7.87
KANSAS,2015,6,24.3,3.37
KANSAS,2015,7,26.09,3.94
KANSAS,2015,8,24.64,3.06
KANSAS,2015,9,23.79,1.61
KANSAS,2015,10,15.59,0.77
KANSAS,2015,11,8.73,3.41
KANSAS,2015,12,2.02,2.51
KANSAS,2016,1,-1.46,0.5
KANSAS,2016,2,3.96,0.53
KANSAS,2016,3,9.94,0.87
KANSAS,2016,4,14.12,4.11
KANSAS,2016,5,17.38,5.46
KANSAS,2016,6,25.61,1.56
KANSAS,2016,7,26.83,5.39
KANSAS,2016,8,25.0,5.1
KANSAS,2016,9,21.6,4.64
KANSAS,2016,10,16.16,1.59
KANSAS,2016,11,9.89,0.31
KANSAS,2016,12,-1.14,0.68
KANSAS,2017,1,-0.02,1.34
KANSAS,2017,2,5.64,0.44
KANSAS,2017,3,8.91,3.48
KANSAS,2017,4,13.14,4.5
KANSAS,2017,5,17.65,3.81
KANSAS,2017,6,23.99,3.08
KANSAS,2017,7,28.1,1.58
KANSAS,2017,8,24.15,2.64
KANSAS,2017,9,23.34,1.39
KANSAS,2017,10,14.57,2.91
KANSAS,2017,11,7.57,0.14
KANSAS,2017,12,0.84,0.12
KANSAS,2018,1,-2.03,0.34
KANSAS,2018,2,0.09,0.62
KANSAS,2018,3,7.52,0.93
KANSAS,2018,4,9.59,1.43
KANSAS,2018,5,23.61,3.35
KANSAS,2018,6,27.27,2.86
KANSAS,2018,7,27.49,3.54
KANSAS,2018,8,25.42,5.02
KANSAS,2018,9,21.12,3.57
KANSAS,2018,10,12.23,5.91
KANSAS,2018,11,2.13,1.26
KANSAS,2018,12,0.76,1.74
KANSAS,2019,1,-1.56,1.04
KANSAS,2019,2,-2.2,1.01
KANSAS,2019,3,4.18,1.92
KANSAS,2019,4,13.27,3.03
KANSAS,2019,5,17.22,10.4
KANSAS,2019,6,22.42,5.11
KANSAS,2019,7,24.76,2.24
KANSAS,2019,8,24.48,7.11
KANSAS,2019,9,23.54,1.5
KANSAS,2019,10,10.09,1.84
KANSAS,2019,11,4.16,0.64
KANSAS,2019,12,1.95,1.37
KANSAS,2020,1,-0.32,1.48
KANSAS,2020,2,1.04,1.55
KANSAS,2020,3,8.64,2.0
KANSAS,2020,4,11.56,1.61
KANSAS,2020,5,16.47,4.68
KANSAS,2020,6,25.34,1.91
KANSAS,2020,7,26.47,6.65
KANSAS,2020,8,25.13,1.31
KANSAS,2020,9,19.89,1.84
KANSAS,2020,10,12.16,0.84
KANSAS,2020,11,8.79,1.38
KANSAS,2020,12,1.64,0.97
KANSAS,2021,1,0.42,1.64
KANSAS,2021,2,-4.0,0.19
KANSAS,2021,3,8.98,3.08
KANSAS,2021,4,11.63,1.85
KANSAS,2021,5,17.04,5.4
KANSAS,2021,6,24.88,3.1
KANSAS,2021,7,26.24,2.46
KANSAS,2021,8,27.5,2.51
KANSAS,2021,9,23.45,3.56
KANSAS,2021,10,15.82,3.43
KANSAS,2021,11,7.83,0.22
KANSAS,2021,12,4.77,0.16
KANSAS,2022,1,-1.58,0.21
KANSAS,2022,2,0.25,0.33
KANSAS,2022,3,6.85,2.35
KANSAS,2022,4,13.08,0.86
KANSAS,2022,5,19.23,7.3
KANSAS,2022,6,24.38,3.88
KANSAS,2022,7,27.65,2.94
KANSAS,2022,8,28.22,1.6
KANSAS,2022,9,23.4,1.39
KANSAS,2022,10,14.96,0.79
KANSAS,2022,11,5.35,2.26
KANSAS,2022,12,-0.43,0.74
KANSAS,2023,1,0.63,1.02
KANSAS,2023,2,2.35,1.2
KANSAS,2023,3,5.76,0.49
KANSAS,2023,4,13.41,1.25
KANSAS,2023,5,20.39,2.23
KANSAS,2023,6,24.91,3.42
KANSAS,2023,7,27.97,2.67
KANSAS,2023,8,28.47,2.18
KANSAS,2023,9,24.09,1.57
KANSAS,2023,10,15.21,2.44
KANSAS,2023,11,7.26,1.74
KANSAS,2023,12,3.49,1.85
KANSAS,2024,1,-3.96,1.35
KANSAS,2024,2,5.82,0.97
KANSAS,2024,3,8.68,1.07
KANSAS,2024,4,14.94,2.36
KANSAS,2024,5,19.8,3.44
KANSAS,2024,6,25.58,5.07
KANSAS,2024,7,27.43,2.39
KANSAS,2024,8,26.8,3.35
KANSAS,2024,9,23.09,1.73
KANSAS,2024,10,17.75,0.96
KANSAS,2024,11,8.27,4.49
KANSAS,2024,12,2.51,0.14
KANSAS,2025,1,-3.83,1.11
KANSAS,2025,2,-1.45,0.26
KANSAS,2025,3,10.13,0.61
KANSAS,2025,4,14.24,2.52
KANSAS,2025,5,18.29,4.91
KANSAS,2025,6,24.13,4.88
KANSAS,2025,7,27.55,3.95
KANSAS,2025,8,24.86,3.77
KANSAS,2025,9,21.51,3.56
KANSAS,2025,10,16.37,2.67
KANSAS,2025,11,8.08,1.65
KANSAS,2025,12,-999.0,-999.0
KENTUCKY,2000,1,-0.05,2.63
KENTUCKY,2000,2,4.29,3.42
KENTUCKY,2000,3,9.01,2.82
KENTUCKY,2000,4,11.72,3.91
KENTUCKY,2000,5,19.17,3.05
KENTUCKY,2000,6,22.8,3.61
KENTUCKY,2000,7,24.02,3.72
KENTUCKY,2000,8,23.88,2.79
KENTUCKY,2000,9,19.99,2.23
KENTUCKY,2000,10,15.24,0.8
KENTUCKY,2000,11,5.84,1.75
KENTUCKY,2000,12,-3.24,3.36
KENTUCKY,2001,1,-1.01,1.9
KENTUCKY,2001,2,3.82,3.52
KENTUCKY,2001,3,4.44,2.37
KENTUCKY,2001,4,14.46,1.4
KENTUCKY,2001,5,19.08,3.52
KENTUCKY,2001,6,22.18,3.25
KENTUCKY,2001,7,24.47,5.81
KENTUCKY,2001,8,24.07,3.1
KENTUCKY,2001,9,19.13,1.38
KENTUCKY,2001,10,13.18,2.5
KENTUCKY,2001,11,10.74,2.42
KENTUCKY,2001,12,4.67,2.76
KENTUCKY,2002,1,2.85,3.09
KENTUCKY,2002,2,2.41,1.24
KENTUCKY,2002,3,6.97,6.46
KENTUCKY,2002,4,13.99,3.12
KENTUCKY,2002,5,16.65,4.71
KENTUCKY,2002,6,22.97,3.56
KENTUCKY,2002,7,25.71,3.04
KENTUCKY,2002,8,25.7,1.75
KENTUCKY,2002,9,22.55,3.98
KENTUCKY,2002,10,13.79,4.7
KENTUCKY,2002,11,5.61,3.34
KENTUCKY,2002,12,1.01,3.77
KENTUCKY,2003,1,-2.49,1.05
KENTUCKY,2003,2,0.16,6.15
KENTUCKY,2003,3,8.45,1.54
KENTUCKY,2003,4,13.49,4.31
KENTUCKY,2003,5,17.83,5.14
KENTUCKY,2003,6,20.56,5.51
KENTUCKY,2003,7,23.35,4.22
KENTUCKY,2003,8,24.08,4.11
KENTUCKY,2003,9,18.48,4.24
KENTUCKY,2003,10,13.43,1.61
KENTUCKY,2003,11,9.42,4.85
KENTUCKY,2003,12,1.13,2.84
KENTUCKY,2004,1,-0.81,3.57
KENTUCKY,2004,2,1.38,3.11
KENTUCKY,2004,3,8.41,3.62
KENTUCKY,2004,4,12.4,3.79
KENTUCKY,2004,5,20.15,7.71
KENTUCKY,2004,6,21.6,3.89
KENTUCKY,2004,7,23.09,5.62
KENTUCKY,2004,8,21.09,3.16
KENTUCKY,2004,9,19.32,5.16
KENTUCKY,2004,10,14.66,3.95
KENTUCKY,2004,11,9.14,4.54
KENTUCKY,2004,12,1.69,3.19
KENTUCKY,2005,1,2.65,3.86
KENTUCKY,2005,2,3.37,2.37
KENTUCKY,2005,3,5.0,2.35
KENTUCKY,2005,4,12.98,4.57
KENTUCKY,2005,5,16.33,1.66
KENTUCKY,2005,6,23.34,1.83
KENTUCKY,2005,7,25.72,3.31
KENTUCKY,2005,8,26.37,2.98
KENTUCKY,2005,9,22.98,0.64
KENTUCKY,2005,10,14.82,0.77
KENTUCKY,2005,11,8.83,2.25
KENTUCKY,2005,12,0.06,1.93
KENTUCKY,2006,1,4.88,4.51
KENTUCKY,2006,2,1.37,1.61
KENTUCKY,2006,3,7.05,2.05
KENTUCKY,2006,4,14.95,4.31
KENTUCKY,2006,5,16.76,3.05
KENTUCKY,2006,6,21.8,2.72
KENTUCKY,2006,7,25.69,2.97
KENTUCKY,2006,8,25.84,4.25
KENTUCKY,2006,9,18.18,6.18
KENTUCKY,2006,10,11.69,3.75
KENTUCKY,2006,11,7.22,1.54
KENTUCKY,2006,12,4.38,1.97
KENTUCKY,2007,1,2.51,2.46
KENTUCKY,2007,2,-1.67,1.57
KENTUCKY,2007,3,10.95,2.36
KENTUCKY,2007,4,11.17,2.94
KENTUCKY,2007,5,19.93,1.57
KENTUCKY,2007,6,24.15,2.36
KENTUCKY,2007,7,24.32,4.2
KENTUCKY,2007,8,27.83,1.34
KENTUCKY,2007,9,23.17,1.42
KENTUCKY,2007,10,17.38,3.26
KENTUCKY,2007,11,6.94,3.3
KENTUCKY,2007,12,4.58,4.8
KENTUCKY,2008,1,0.01,2.74
KENTUCKY,2008,2,2.3,3.61
KENTUCKY,2008,3,6.62,3.97
KENTUCKY,2008,4,12.55,4.0
KENTUCKY,2008,5,16.39,3.11
KENTUCKY,2008,6,22.85,3.29
KENTUCKY,2008,7,24.32,3.66
KENTUCKY,2008,8,24.04,1.44
KENTUCKY,2008,9,22.65,0.54
KENTUCKY,2008,10,13.98,1.21
KENTUCKY,2008,11,5.73,2.56
KENTUCKY,2008,12,1.83,4.75
KENTUCKY,2009,1,-1.26,4.58
KENTUCKY,2009,2,2.23,2.25
KENTUCKY,2009,3,7.85,3.05
KENTUCKY,2009,4,12.46,4.38
KENTUCKY,2009,5,17.38,5.89
KENTUCKY,2009,6,22.66,5.05
KENTUCKY,2009,7,21.69,4.75
KENTUCKY,2009,8,22.61,2.58
KENTUCKY,2009,9,20.09,5.08
KENTUCKY,2009,10,11.82,4.1
KENTUCKY,2009,11,8.28,0.76
KENTUCKY,2009,12,0.76,4.15
KENTUCKY,2010,1,-2.23,3.51
KENTUCKY,2010,2,-2.04,2.36
KENTUCKY,2010,3,6.93,1.62
KENTUCKY,2010,4,14.68,2.56
KENTUCKY,2010,5,19.34,6.89
KENTUCKY,2010,6,24.32,3.51
KENTUCKY,2010,7,25.31,5.03
KENTUCKY,2010,8,25.26,3.77
KENTUCKY,2010,9,21.25,1.95
KENTUCKY,2010,10,14.46,1.4
KENTUCKY,2010,11,7.71,4.64
KENTUCKY,2010,12,-3.33,2.13
KENTUCKY,2011,1,-2.02,1.81
KENTUCKY,2011,2,3.07,4.98
KENTUCKY,2011,3,7.06,3.74
KENTUCKY,2011,4,14.31,8.36
KENTUCKY,2011,5,17.55,4.38
KENTUCKY,2011,6,22.68,3.42
KENTUCKY,2011,7,25.89,2.54
KENTUCKY,2011,8,24.82,2.0
KENTUCKY,2011,9,18.98,4.62
KENTUCKY,2011,10,12.65,2.86
KENTUCKY,2011,11,8.73,6.04
KENTUCKY,2011,12,3.97,3.26
KENTUCKY,2012,1,2.57,3.23
KENTUCKY,2012,2,4.17,2.65
KENTUCKY,2012,3,12.92,3.45
KENTUCKY,2012,4,13.31,1.98
KENTUCKY,2012,5,20.24,3.86
KENTUCKY,2012,6,23.28,0.74
KENTUCKY,2012,7,27.04,4.83
KENTUCKY,2012,8,24.48,1.72
KENTUCKY,2012,9,19.95,5.13
KENTUCKY,2012,10,12.22,2.15
KENTUCKY,2012,11,5.33,1.08
KENTUCKY,2012,12,5.27,4.91
KENTUCKY,2013,1,1.48,4.26
KENTUCKY,2013,2,1.37,1.52
KENTUCKY,2013,3,3.16,4.18
KENTUCKY,2013,4,12.17,4.85
KENTUCKY,2013,5,17.56,3.45
KENTUCKY,2013,6,22.07,4.71
KENTUCKY,2013,7,22.83,5.71
KENTUCKY,2013,8,22.73,4.02
KENTUCKY,2013,9,20.14,1.61
KENTUCKY,2013,10,14.08,3.0
KENTUCKY,2013,11,4.66,2.39
KENTUCKY,2013,12,1.84,5.13
KENTUCKY,2014,1,-3.69,1.87
KENTUCKY,2014,2,-0.8,4.19
KENTUCKY,2014,3,3.89,2.89
KENTUCKY,2014,4,13.51,5.35
KENTUCKY,2014,5,18.23,2.39
KENTUCKY,2014,6,22.93,2.6
KENTUCKY,2014,7,23.36,4.14
KENTUCKY,2014,8,24.05,4.52
KENTUCKY,2014,9,20.25,1.43
KENTUCKY,2014,10,13.6,5.18
KENTUCKY,2014,11,3.18,2.45
KENTUCKY,2014,12,2.99,2.62
KENTUCKY,2015,1,-0.56,1.48
KENTUCKY,2015,2,-3.95,2.58
KENTUCKY,2015,3,6.03,4.71
KENTUCKY,2015,4,13.29,7.75
KENTUCKY,2015,5,19.44,1.49
KENTUCKY,2015,6,22.91,4.52
KENTUCKY,2015,7,24.09,7.47
KENTUCKY,2015,8,22.66,2.09
KENTUCKY,2015,9,21.69,3.27
KENTUCKY,2015,10,13.96,2.54
KENTUCKY,2015,11,9.75,3.13
KENTUCKY,2015,12,8.65,4.64
KENTUCKY,2016,1,-0.96,1.42
KENTUCKY,2016,2,2.31,4.58
KENTUCKY,2016,3,9.92,2.51
KENTUCKY,2016,4,13.11,3.23
KENTUCKY,2016,5,16.77,4.95
KENTUCKY,2016,6,23.21,2.53
KENTUCKY,2016,7,25.29,6.32
KENTUCKY,2016,8,25.13,3.72
KENTUCKY,2016,9,22.64,1.76
KENTUCKY,2016,10,17.15,0.82
KENTUCKY,2016,11,9.56,1.76
KENTUCKY,2016,12,1.67,4.78
KENTUCKY,2017,1,4.4,3.29
KENTUCKY,2017,2,6.83,1.84
KENTUCKY,2017,3,7.66,3.51
KENTUCKY,2017,4,15.61,2.83
KENTUCKY,2017,5,17.98,4.55
KENTUCKY,2017,6,22.11,3.85
KENTUCKY,2017,7,25.29,3.43
KENTUCKY,2017,8,22.92,4.66
KENTUCKY,2017,9,19.57,2.73
KENTUCKY,2017,10,14.72,4.29
KENTUCKY,2017,11,7.54,1.8
KENTUCKY,2017,12,1.15,2.49
KENTUCKY,2018,1,-1.85,1.51
KENTUCKY,2018,2,6.47,8.08
KENTUCKY,2018,3,5.08,4.59
KENTUCKY,2018,4,9.43,4.27
KENTUCKY,2018,5,21.35,4.28
KENTUCKY,2018,6,23.47,4.99
KENTUCKY,2018,7,24.17,3.55
KENTUCKY,2018,8,24.24,3.59
KENTUCKY,2018,9,22.77,5.8
KENTUCKY,2018,10,14.11,3.08
KENTUCKY,2018,11,4.7,4.4
KENTUCKY,2018,12,3.7,4.95
KENTUCKY,2019,1,0.46,3.59
KENTUCKY,2019,2,4.89,8.06
KENTUCKY,2019,3,5.16,2.29
KENTUCKY,2019,4,14.22,3.73
KENTUCKY,2019,5,19.86,2.97
KENTUCKY,2019,6,21.62,7.57
KENTUCKY,2019,7,24.65,3.35
KENTUCKY,2019,8,25.0,1.95
KENTUCKY,2019,9,24.98,0.18
KENTUCKY,2019,10,15.8,5.59
KENTUCKY,2019,11,4.46,4.83
KENTUCKY,2019,12,5.01,4.83
KENTUCKY,2020,1,3.46,3.65
KENTUCKY,2020,2,3.54,5.83
KENTUCKY,2020,3,10.05,5.79
KENTUCKY,2020,4,11.22,4.15
KENTUCKY,2020,5,16.35,4.67
KENTUCKY,2020,6,21.92,4.06
KENTUCKY,2020,7,25.48,2.98
KENTUCKY,2020,8,24.15,3.14
KENTUCKY,2020,9,19.69,3.55
KENTUCKY,2020,10,14.39,4.03
KENTUCKY,2020,11,8.86,1.95
KENTUCKY,2020,12,1.75,3.3
KENTUCKY,2021,1,0.92,3.16
KENTUCKY,2021,2,-0.41,5.43
KENTUCKY,2021,3,9.13,4.31
KENTUCKY,2021,4,11.82,2.19
KENTUCKY,2021,5,16.76,2.35
KENTUCKY,2021,6,22.71,4.08
KENTUCKY,2021,7,23.91,5.31
KENTUCKY,2021,8,24.82,4.26
KENTUCKY,2021,9,20.47,2.6
KENTUCKY,2021,10,16.28,4.09
KENTUCKY,2021,11,5.4,1.79
KENTUCKY,2021,12,7.98,3.49
KENTUCKY,2022,1,-1.22,4.29
KENTUCKY,2022,2,2.57,5.58
KENTUCKY,2022,3,8.28,2.2
KENTUCKY,2022,4,11.85,3.35
KENTUCKY,2022,5,19.31,3.81
KENTUCKY,2022,6,23.48,1.76
KENTUCKY,2022,7,25.9,6.77
KENTUCKY,2022,8,24.02,3.09
KENTUCKY,2022,9,20.23,1.66
KENTUCKY,2022,10,12.78,0.96
KENTUCKY,2022,11,8.0,2.37
KENTUCKY,2022,12,2.58,2.98
KENTUCKY,2023,1,4.72,4.2
KENTUCKY,2023,2,6.81,3.9
KENTUCKY,2023,3,7.72,3.19
KENTUCKY,2023,4,12.99,2.75
KENTUCKY,2023,5,17.47,1.78
KENTUCKY,2023,6,21.64,4.26
KENTUCKY,2023,7,25.15,3.23
KENTUCKY,2023,8,24.44,2.8
KENTUCKY,2023,9,21.99,1.31
KENTUCKY,2023,10,15.31,1.49
KENTUCKY,2023,11,8.38,1.38
KENTUCKY,2023,12,5.24,2.32
KENTUCKY,2024,1,-0.01,4.2
KENTUCKY,2024,2,5.66,3.73
KENTUCKY,2024,3,9.46,2.53
KENTUCKY,2024,4,14.29,4.0
KENTUCKY,2024,5,19.84,5.66
KENTUCKY,2024,6,23.71,2.26
KENTUCKY,2024,7,25.73,4.24
KENTUCKY,2024,8,24.73,2.44
KENTUCKY,2024,9,21.6,3.83
KENTUCKY,2024,10,15.53,0.22
KENTUCKY,2024,11,10.34,3.15
KENTUCKY,2024,12,3.64,3.73
KENTUCKY,2025,1,-2.91,3.06
KENTUCKY,2025,2,2.68,7.45
KENTUCKY,2025,3,9.11,4.1
KENTUCKY,2025,4,14.21,7.42
KENTUCKY,2025,5,17.29,6.11
KENTUCKY,2025,6,23.56,4.87
KENTUCKY,2025,7,25.9,2.63
KENTUCKY,2025,8,23.86,0.83
KENTUCKY,2025,9,21.99,3.63
KENTUCKY,2025,10,14.61,3.98
KENTUCKY,2025,11,7.79,2.33
KENTUCKY,2025,12,-999.0,-999.0
LOUISIANA,2000,1,10.48,1.37
LOUISIANA,2000,2,14.41,0.58
LOUISIANA,2000,3,17.97,3.37
LOUISIANA,2000,4,18.93,3.56
LOUISIANA,2000,5,25.64,2.31
LOUISIANA,2000,6,27.89,4.66
LOUISIANA,2000,7,29.78,2.33
LOUISIANA,2000,8,30.51,1.77
LOUISIANA,2000,9,25.92,2.75
LOUISIANA,2000,10,20.44,1.35
LOUISIANA,2000,11,12.64,9.31
LOUISIANA,2000,12,5.63,2.47
LOUISIANA,2001,1,6.74,4.77
LOUISIANA,2001,2,12.98,2.64
LOUISIANA,2001,3,12.11,7.61
LOUISIANA,2001,4,20.33,1.38
LOUISIANA,2001,5,23.62,1.86
LOUISIANA,2001,6,25.1,10.13
LOUISIANA,2001,7,27.67,3.93
LOUISIANA,2001,8,27.06,5.65
LOUISIANA,2001,9,23.27,4.54
LOUISIANA,2001,10,17.46,3.69
LOUISIANA,2001,11,16.64,4.68
LOUISIANA,2001,12,11.34,2.92
LOUISIANA,2002,1,10.02,3.29
LOUISIANA,2002,2,8.66,2.34
LOUISIANA,2002,3,14.39,4.83
LOUISIANA,2002,4,20.64,3.0
LOUISIANA,2002,5,24.27,1.79
LOUISIANA,2002,6,27.7,3.01
LOUISIANA,2002,7,28.23,4.38
LOUISIANA,2002,8,27.45,3.75
LOUISIANA,2002,9,26.08,3.96
LOUISIANA,2002,10,20.65,9.86
LOUISIANA,2002,11,12.54,4.6
LOUISIANA,2002,12,9.76,5.58
LOUISIANA,2003,1,6.31,1.3
LOUISIANA,2003,2,9.91,8.23
LOUISIANA,2003,3,14.42,3.1
LOUISIANA,2003,4,18.68,1.85
LOUISIANA,2003,5,24.44,1.14
LOUISIANA,2003,6,26.98,6.27
LOUISIANA,2003,7,27.48,4.08
LOUISIANA,2003,8,28.62,2.49
LOUISIANA,2003,9,24.92,3.05
LOUISIANA,2003,10,20.75,1.63
LOUISIANA,2003,11,16.7,4.99
LOUISIANA,2003,12,8.54,2.78
LOUISIANA,2004,1,9.21,5.12
LOUISIANA,2004,2,8.94,8.25
LOUISIANA,2004,3,16.33,1.38
LOUISIANA,2004,4,18.35,3.53
LOUISIANA,2004,5,22.74,11.18
LOUISIANA,2004,6,25.69,10.83
LOUISIANA,2004,7,26.72,2.56
LOUISIANA,2004,8,25.37,1.78
LOUISIANA,2004,9,25.84,1.3
LOUISIANA,2004,10,23.3,5.98
LOUISIANA,2004,11,15.89,7.3
LOUISIANA,2004,12,8.76,3.22
LOUISIANA,2005,1,10.71,3.67
LOUISIANA,2005,2,12.03,5.15
LOUISIANA,2005,3,13.5,2.98
LOUISIANA,2005,4,18.16,1.66
LOUISIANA,2005,5,23.27,2.62
LOUISIANA,2005,6,28.1,2.71
LOUISIANA,2005,7,29.15,3.7
LOUISIANA,2005,8,29.76,2.27
LOUISIANA,2005,9,28.54,6.03
LOUISIANA,2005,10,19.81,0.12
LOUISIANA,2005,11,16.1,2.47
LOUISIANA,2005,12,8.86,3.8
LOUISIANA,2006,1,12.1,3.24
LOUISIANA,2006,2,9.97,5.2
LOUISIANA,2006,3,15.8,1.45
LOUISIANA,2006,4,21.77,4.2
LOUISIANA,2006,5,23.69,1.86
LOUISIANA,2006,6,28.02,1.56
LOUISIANA,2006,7,28.24,4.79
LOUISIANA,2006,8,29.3,3.59
LOUISIANA,2006,9,25.18,2.34
LOUISIANA,2006,10,20.43,10.67
LOUISIANA,2006,11,13.15,2.03
LOUISIANA,2006,12,9.93,4.76
LOUISIANA,2007,1,8.4,6.55
LOUISIANA,2007,2,9.65,1.42
LOUISIANA,2007,3,16.64,1.17
LOUISIANA,2007,4,17.59,3.48
LOUISIANA,2007,5,23.1,3.89
LOUISIANA,2007,6,26.86,4.04
LOUISIANA,2007,7,26.01,6.79
LOUISIANA,2007,8,28.94,1.87
LOUISIANA,2007,9,25.55,4.88
LOUISIANA,2007,10,20.77,2.58
LOUISIANA,2007,11,15.17,3.37
LOUISIANA,2007,12,12.43,2.9
LOUISIANA,2008,1,7.79,5.6
LOUISIANA,2008,2,12.4,4.4
LOUISIANA,2008,3,14.68,2.92
LOUISIANA,2008,4,18.86,2.41
LOUISIANA,2008,5,23.57,5.22
LOUISIANA,2008,6,28.05,3.4
LOUISIANA,2008,7,29.12,1.58
LOUISIANA,2008,8,27.6,6.24
LOUISIANA,2008,9,23.44,11.76
LOUISIANA,2008,10,18.25,1.18
LOUISIANA,2008,11,13.29,2.97
LOUISIANA,2008,12,10.54,5.01
LOUISIANA,2009,1,9.0,2.37
LOUISIANA,2009,2,11.98,2.63
LOUISIANA,2009,3,15.43,6.61
LOUISIANA,2009,4,17.94,4.69
